구분,시도,시군구,심화행동라벨,근거
기다려야 할 지역,대구광역시,달서구,관찰 유지,"전세가율 63.2%, 월세비중 49.7%, 전세와 매매 전환 시점이 거의 동시, 월세 비중 높음, 임차 선행"
월세 비중 높아 해석 주의 지역,대구광역시,달서구,관찰 유지,"전세가율 63.2%, 월세비중 49.7%, 전세와 매매 전환 시점이 거의 동시, 월세 비중 높음, 임차 선행"
매매보다 임차가 먼저 강한 지역,대구광역시,달서구,관찰 유지,"전세가율 63.2%, 월세비중 49.7%, 전세와 매매 전환 시점이 거의 동시, 월세 비중 높음, 임차 선행"
기다려야 할 지역,전북특별자치도,전주시 덕진구,관찰 유지,"전세가율 78.1%, 월세비중 32.9%, 전세가 매매보다 1개월 선행, 임차 선행"
매매보다 임차가 먼저 강한 지역,전북특별자치도,전주시 덕진구,관찰 유지,"전세가율 78.1%, 월세비중 32.9%, 전세가 매매보다 1개월 선행, 임차 선행"
기다려야 할 지역,인천광역시,연수구,관찰 유지,"전세가율 58.3%, 월세비중 34.7%, 전세와 매매 전환 시점이 거의 동시"
매매보다 임차가 먼저 강한 지역,경기도,고양시 일산서구,관찰 유지,"전세가율 75.7%, 월세비중 29.7%, 전세와 매매 전환 시점이 거의 동시, 임차 수요 기반 양호, 임차 선행"
기다려야 할 지역,경기도,화성시 병점구,관찰 유지,"전세가율 70.4%, 월세비중 47.0%, 월세 비중 높음"
월세 비중 높아 해석 주의 지역,경기도,화성시 병점구,관찰 유지,"전세가율 70.4%, 월세비중 47.0%, 월세 비중 높음"
기다려야 할 지역,충청남도,천안시 서북구,관찰 유지,"전세가율 79.0%, 월세비중 39.4%, 전세와 매매 전환 시점이 거의 동시, 임차 선행"
매매보다 임차가 먼저 강한 지역,충청남도,천안시 서북구,관찰 유지,"전세가율 79.0%, 월세비중 39.4%, 전세와 매매 전환 시점이 거의 동시, 임차 선행"
기다려야 할 지역,울산광역시,울주군,관찰 유지,"전세가율 78.2%, 월세비중 42.2%, 전세가 매매보다 2개월 선행, 월세 비중 높음, 임차 선행"
월세 비중 높아 해석 주의 지역,울산광역시,울주군,관찰 유지,"전세가율 78.2%, 월세비중 42.2%, 전세가 매매보다 2개월 선행, 월세 비중 높음, 임차 선행"
매매보다 임차가 먼저 강한 지역,울산광역시,울주군,관찰 유지,"전세가율 78.2%, 월세비중 42.2%, 전세가 매매보다 2개월 선행, 월세 비중 높음, 임차 선행"
기다려야 할 지역,충청북도,청주시 상당구,관찰 유지,"전세가율 86.2%, 월세비중 34.5%, 전세가 매매보다 1개월 선행, 임차 선행"
매매보다 임차가 먼저 강한 지역,충청북도,청주시 상당구,관찰 유지,"전세가율 86.2%, 월세비중 34.5%, 전세가 매매보다 1개월 선행, 임차 선행"
기다려야 할 지역,서울특별시,강서구,관찰 유지,"전세가율 52.3%, 월세비중 31.6%, 전세가 매매보다 1개월 선행"
기다려야 할 지역,서울특별시,영등포구,관찰 유지,"전세가율 44.3%, 월세비중 31.4%, 매매가 전세보다 1개월 선행"
기다려야 할 지역,서울특별시,노원구,관찰 유지,"전세가율 58.1%, 월세비중 28.3%, 전세가 매매보다 9개월 선행"
기다려야 할 지역,경기도,안산시 단원구,관찰 유지,"전세가율 61.9%, 월세비중 25.0%, 전세와 매매 전환 시점이 거의 동시, 임차 선행"
매매보다 임차가 먼저 강한 지역,경기도,안산시 단원구,관찰 유지,"전세가율 61.9%, 월세비중 25.0%, 전세와 매매 전환 시점이 거의 동시, 임차 선행"
기다려야 할 지역,전북특별자치도,전주시 완산구,관찰 유지,"전세가율 81.0%, 월세비중 73.4%, 전세가 매매보다 2개월 선행, 월세 비중 높음, 임차 선행"
월세 비중 높아 해석 주의 지역,전북특별자치도,전주시 완산구,관찰 유지,"전세가율 81.0%, 월세비중 73.4%, 전세가 매매보다 2개월 선행, 월세 비중 높음, 임차 선행"
매매보다 임차가 먼저 강한 지역,전북특별자치도,전주시 완산구,관찰 유지,"전세가율 81.0%, 월세비중 73.4%, 전세가 매매보다 2개월 선행, 월세 비중 높음, 임차 선행"
기다려야 할 지역,서울특별시,성북구,관찰 유지,"전세가율 56.9%, 월세비중 34.7%, 매매가 전세보다 1개월 선행"
기다려야 할 지역,경기도,고양시 덕양구,관찰 유지,"전세가율 65.9%, 월세비중 51.1%, 전세와 매매 전환 시점이 거의 동시, 월세 비중 높음, 임차 선행"
월세 비중 높아 해석 주의 지역,경기도,고양시 덕양구,관찰 유지,"전세가율 65.9%, 월세비중 51.1%, 전세와 매매 전환 시점이 거의 동시, 월세 비중 높음, 임차 선행"
매매보다 임차가 먼저 강한 지역,경기도,고양시 덕양구,관찰 유지,"전세가율 65.9%, 월세비중 51.1%, 전세와 매매 전환 시점이 거의 동시, 월세 비중 높음, 임차 선행"
기다려야 할 지역,서울특별시,송파구,관찰 유지,"전세가율 37.7%, 월세비중 39.4%, 매매가 전세보다 2개월 선행"
기다려야 할 지역,서울특별시,동작구,관찰 유지,"전세가율 46.2%, 월세비중 34.2%, 전세와 매매 전환 시점이 거의 동시"
기다려야 할 지역,경기도,수원시 영통구,관찰 유지,"전세가율 64.8%, 월세비중 34.4%, 매매가 전세보다 1개월 선행"
기다려야 할 지역,경기도,용인시 수지구,관찰 유지,"전세가율 61.2%, 월세비중 28.9%, 매매가 전세보다 1개월 선행"
기다려야 할 지역,경기도,수원시 팔달구,관찰 유지,"전세가율 59.1%, 월세비중 27.0%, 매매가 전세보다 2개월 선행"
기다려야 할 지역,서울특별시,관악구,관찰 유지,"전세가율 54.9%, 월세비중 40.2%, 전세가 매매보다 2개월 선행, 월세 비중 높음"
월세 비중 높아 해석 주의 지역,서울특별시,관악구,관찰 유지,"전세가율 54.9%, 월세비중 40.2%, 전세가 매매보다 2개월 선행, 월세 비중 높음"
기다려야 할 지역,경기도,안양시 동안구,관찰 유지,"전세가율 56.5%, 월세비중 22.7%, 매매가 전세보다 2개월 선행"
기다려야 할 지역,경기도,성남시 수정구,관찰 유지,"전세가율 46.4%, 월세비중 35.9%, 전세가 매매보다 1개월 선행"
기다려야 할 지역,경기도,하남시,관찰 유지,"전세가율 54.5%, 월세비중 45.1%, 전세와 매매 전환 시점이 거의 동시, 월세 비중 높음"
월세 비중 높아 해석 주의 지역,경기도,하남시,관찰 유지,"전세가율 54.5%, 월세비중 45.1%, 전세와 매매 전환 시점이 거의 동시, 월세 비중 높음"
기다려야 할 지역,경기도,수원시 장안구,관찰 유지,"전세가율 63.5%, 월세비중 26.2%, 매매가 전세보다 3개월 선행"
기다려야 할 지역,인천광역시,서구,관찰 유지,"전세가율 62.1%, 월세비중 40.7%, 전세가 매매보다 1개월 선행, 월세 비중 높음, 임차 선행"
월세 비중 높아 해석 주의 지역,인천광역시,서구,관찰 유지,"전세가율 62.1%, 월세비중 40.7%, 전세가 매매보다 1개월 선행, 월세 비중 높음, 임차 선행"
매매보다 임차가 먼저 강한 지역,인천광역시,서구,관찰 유지,"전세가율 62.1%, 월세비중 40.7%, 전세가 매매보다 1개월 선행, 월세 비중 높음, 임차 선행"
기다려야 할 지역,경기도,오산시,관찰 유지,"전세가율 70.4%, 월세비중 39.6%, 전세와 매매 전환 시점이 거의 동시, 임차 선행"
매매보다 임차가 먼저 강한 지역,경기도,오산시,관찰 유지,"전세가율 70.4%, 월세비중 39.6%, 전세와 매매 전환 시점이 거의 동시, 임차 선행"
기다려야 할 지역,세종특별자치시,세종시,관찰 유지,"전세가율 44.5%, 월세비중 35.9%, 매매가 전세보다 2개월 선행"
기다려야 할 지역,충청북도,청주시 청원구,관찰 유지,"전세가율 83.8%, 월세비중 33.8%, 전세가 매매보다 1개월 선행, 임차 선행"
매매보다 임차가 먼저 강한 지역,충청북도,청주시 청원구,관찰 유지,"전세가율 83.8%, 월세비중 33.8%, 전세가 매매보다 1개월 선행, 임차 선행"
기다려야 할 지역,서울특별시,광진구,관찰 유지,"전세가율 38.2%, 월세비중 34.5%, 매매가 전세보다 3개월 선행"
기다려야 할 지역,서울특별시,성동구,관찰 유지,"전세가율 38.8%, 월세비중 38.9%, 전세가 매매보다 1개월 선행"
기다려야 할 지역,경기도,성남시 분당구,관찰 유지,"전세가율 39.6%, 월세비중 34.2%, 매매가 전세보다 4개월 선행"
기다려야 할 지역,경기도,과천시,관찰 유지,"전세가율 42.7%, 월세비중 32.9%, 매매가 전세보다 2개월 선행"
기다려야 할 지역,경상남도,창원시 의창구,보수 접근,"전세가율 78.6%, 월세비중 37.8%, 전세와 매매 전환 시점이 거의 동시, 임차 선행"
매매보다 임차가 먼저 강한 지역,경상남도,창원시 의창구,보수 접근,"전세가율 78.6%, 월세비중 37.8%, 전세와 매매 전환 시점이 거의 동시, 임차 선행"
기다려야 할 지역,부산광역시,사하구,보수 접근,"전세가율 75.1%, 월세비중 50.6%, 매매가 전세보다 4개월 선행, 월세 비중 높음"
월세 비중 높아 해석 주의 지역,부산광역시,사하구,보수 접근,"전세가율 75.1%, 월세비중 50.6%, 매매가 전세보다 4개월 선행, 월세 비중 높음"
매매보다 임차가 먼저 강한 지역,광주광역시,서구,보수 접근,"전세가율 72.0%, 월세비중 26.9%, 전세와 매매 전환 시점이 거의 동시, 임차 수요 기반 양호, 임차 선행"
매매보다 임차가 먼저 강한 지역,경상남도,창원시 마산합포구,보수 접근,"전세가율 81.7%, 월세비중 21.8%, 전세가 매매보다 2개월 선행, 임차 수요 기반 양호, 임차 선행"
기다려야 할 지역,경기도,용인시 처인구,보수 접근,"전세가율 68.0%, 월세비중 32.4%, 매매가 전세보다 2개월 선행"
기다려야 할 지역,부산광역시,수영구,보수 접근,"전세가율 52.9%, 월세비중 41.3%, 매매가 전세보다 3개월 선행, 월세 비중 높음"
월세 비중 높아 해석 주의 지역,부산광역시,수영구,보수 접근,"전세가율 52.9%, 월세비중 41.3%, 매매가 전세보다 3개월 선행, 월세 비중 높음"
기다려야 할 지역,부산광역시,남구,보수 접근,"전세가율 64.2%, 월세비중 29.4%, 매매가 전세보다 2개월 선행"
매매보다 임차가 먼저 강한 지역,경기도,부천시 소사구,보수 접근,"전세가율 68.1%, 월세비중 27.1%, 전세와 매매 전환 시점이 거의 동시, 임차 수요 기반 양호, 임차 선행"
기다려야 할 지역,서울특별시,은평구,보수 접근,"전세가율 59.0%, 월세비중 24.0%, 매매가 전세보다 1개월 선행"
기다려야 할 지역,경기도,성남시 중원구,보수 접근,"전세가율 54.1%, 월세비중 26.9%, 매매가 전세보다 1개월 선행"
기다려야 할 지역,경상남도,양산시,보수 접근,"전세가율 72.2%, 월세비중 37.7%, 전세가 매매보다 1개월 선행, 임차 선행"
매매보다 임차가 먼저 강한 지역,경상남도,양산시,보수 접근,"전세가율 72.2%, 월세비중 37.7%, 전세가 매매보다 1개월 선행, 임차 선행"
기다려야 할 지역,인천광역시,계양구,보수 접근,"전세가율 72.4%, 월세비중 32.1%, 전세가 매매보다 1개월 선행, 임차 선행"
매매보다 임차가 먼저 강한 지역,인천광역시,계양구,보수 접근,"전세가율 72.4%, 월세비중 32.1%, 전세가 매매보다 1개월 선행, 임차 선행"
기다려야 할 지역,경상북도,구미시,보수 접근,"전세가율 81.2%, 월세비중 57.7%, 월세 비중 높음"
월세 비중 높아 해석 주의 지역,경상북도,구미시,보수 접근,"전세가율 81.2%, 월세비중 57.7%, 월세 비중 높음"
기다려야 할 지역,경기도,안산시 상록구,보수 접근,"전세가율 64.0%, 월세비중 23.6%, 전세가 매매보다 2개월 선행, 임차 선행"
매매보다 임차가 먼저 강한 지역,경기도,안산시 상록구,보수 접근,"전세가율 64.0%, 월세비중 23.6%, 전세가 매매보다 2개월 선행, 임차 선행"
기다려야 할 지역,대전광역시,중구,보수 접근,"전세가율 72.1%, 월세비중 40.8%, 전세가 매매보다 2개월 선행, 월세 비중 높음, 임차 선행"
월세 비중 높아 해석 주의 지역,대전광역시,중구,보수 접근,"전세가율 72.1%, 월세비중 40.8%, 전세가 매매보다 2개월 선행, 월세 비중 높음, 임차 선행"
매매보다 임차가 먼저 강한 지역,대전광역시,중구,보수 접근,"전세가율 72.1%, 월세비중 40.8%, 전세가 매매보다 2개월 선행, 월세 비중 높음, 임차 선행"
기다려야 할 지역,울산광역시,중구,보수 접근,"전세가율 69.9%, 월세비중 41.3%, 매매가 전세보다 3개월 선행, 월세 비중 높음"
월세 비중 높아 해석 주의 지역,울산광역시,중구,보수 접근,"전세가율 69.9%, 월세비중 41.3%, 매매가 전세보다 3개월 선행, 월세 비중 높음"
기다려야 할 지역,부산광역시,금정구,보수 접근,"전세가율 69.2%, 월세비중 35.3%, 매매가 전세보다 2개월 선행"
기다려야 할 지역,서울특별시,강동구,보수 접근,"전세가율 42.1%, 월세비중 32.0%, 매매가 전세보다 3개월 선행"
매매보다 임차가 먼저 강한 지역,경기도,광주시,보수 접근,"전세가율 71.7%, 월세비중 26.6%, 전세와 매매 전환 시점이 거의 동시, 임차 수요 기반 양호, 임차 선행"
기다려야 할 지역,경기도,파주시,보수 접근,"전세가율 72.1%, 월세비중 36.4%, 전세가 매매보다 2개월 선행, 임차 선행"
매매보다 임차가 먼저 강한 지역,경기도,파주시,보수 접근,"전세가율 72.1%, 월세비중 36.4%, 전세가 매매보다 2개월 선행, 임차 선행"
기다려야 할 지역,경기도,양주시,보수 접근,"전세가율 67.7%, 월세비중 67.5%, 매매가 전세보다 1개월 선행, 월세 비중 높음"
월세 비중 높아 해석 주의 지역,경기도,양주시,보수 접근,"전세가율 67.7%, 월세비중 67.5%, 매매가 전세보다 1개월 선행, 월세 비중 높음"
기다려야 할 지역,경기도,고양시 일산동구,보수 접근,"전세가율 75.1%, 월세비중 37.0%, 전세와 매매 전환 시점이 거의 동시, 임차 선행"
매매보다 임차가 먼저 강한 지역,경기도,고양시 일산동구,보수 접근,"전세가율 75.1%, 월세비중 37.0%, 전세와 매매 전환 시점이 거의 동시, 임차 선행"
기다려야 할 지역,서울특별시,구로구,보수 접근,"전세가율 56.5%, 월세비중 38.0%, 매매가 전세보다 2개월 선행"
기다려야 할 지역,전북특별자치도,군산시,보수 접근,"전세가율 85.8%, 월세비중 33.6%, 매매가 전세보다 1개월 선행"
기다려야 할 지역,대구광역시,달성군,보수 접근,"전세가율 73.7%, 월세비중 61.2%, 전세와 매매 전환 시점이 거의 동시, 월세 비중 높음, 임차 선행"
월세 비중 높아 해석 주의 지역,대구광역시,달성군,보수 접근,"전세가율 73.7%, 월세비중 61.2%, 전세와 매매 전환 시점이 거의 동시, 월세 비중 높음, 임차 선행"
매매보다 임차가 먼저 강한 지역,대구광역시,달성군,보수 접근,"전세가율 73.7%, 월세비중 61.2%, 전세와 매매 전환 시점이 거의 동시, 월세 비중 높음, 임차 선행"
기다려야 할 지역,서울특별시,동대문구,보수 접근,"전세가율 52.2%, 월세비중 37.1%, 매매가 전세보다 2개월 선행"
기다려야 할 지역,경기도,평택시,보수 접근,"전세가율 72.2%, 월세비중 51.0%, 전세와 매매 전환 시점이 거의 동시, 월세 비중 높음, 임차 선행"
월세 비중 높아 해석 주의 지역,경기도,평택시,보수 접근,"전세가율 72.2%, 월세비중 51.0%, 전세와 매매 전환 시점이 거의 동시, 월세 비중 높음, 임차 선행"
매매보다 임차가 먼저 강한 지역,경기도,평택시,보수 접근,"전세가율 72.2%, 월세비중 51.0%, 전세와 매매 전환 시점이 거의 동시, 월세 비중 높음, 임차 선행"
기다려야 할 지역,울산광역시,북구,보수 접근,"전세가율 77.0%, 월세비중 30.9%, 전세와 매매 전환 시점이 거의 동시, 임차 선행"
매매보다 임차가 먼저 강한 지역,울산광역시,북구,보수 접근,"전세가율 77.0%, 월세비중 30.9%, 전세와 매매 전환 시점이 거의 동시, 임차 선행"
기다려야 할 지역,경기도,김포시,보수 접근,"전세가율 71.2%, 월세비중 39.9%, 매매가 전세보다 1개월 선행"
기다려야 할 지역,대구광역시,중구,보수 접근,"전세가율 51.6%, 월세비중 31.1%, 매매가 전세보다 4개월 선행"
기다려야 할 지역,광주광역시,북구,보수 접근,"전세가율 71.7%, 월세비중 34.4%, 전세가 매매보다 3개월 선행, 임차 선행"
매매보다 임차가 먼저 강한 지역,광주광역시,북구,보수 접근,"전세가율 71.7%, 월세비중 34.4%, 전세가 매매보다 3개월 선행, 임차 선행"
기다려야 할 지역,경기도,시흥시,보수 접근,"전세가율 65.2%, 월세비중 41.2%, 전세가 매매보다 1개월 선행, 월세 비중 높음, 임차 선행"
월세 비중 높아 해석 주의 지역,경기도,시흥시,보수 접근,"전세가율 65.2%, 월세비중 41.2%, 전세가 매매보다 1개월 선행, 월세 비중 높음, 임차 선행"
매매보다 임차가 먼저 강한 지역,경기도,시흥시,보수 접근,"전세가율 65.2%, 월세비중 41.2%, 전세가 매매보다 1개월 선행, 월세 비중 높음, 임차 선행"
기다려야 할 지역,서울특별시,양천구,보수 접근,"전세가율 48.4%, 월세비중 30.9%, 매매가 전세보다 3개월 선행"
기다려야 할 지역,대구광역시,동구,보수 접근,"전세가율 65.8%, 월세비중 45.3%, 매매가 전세보다 3개월 선행, 월세 비중 높음"
월세 비중 높아 해석 주의 지역,대구광역시,동구,보수 접근,"전세가율 65.8%, 월세비중 45.3%, 매매가 전세보다 3개월 선행, 월세 비중 높음"
기다려야 할 지역,경기도,의왕시,보수 접근,"전세가율 61.2%, 월세비중 23.2%, 매매가 전세보다 1개월 선행"
기다려야 할 지역,서울특별시,중랑구,보수 접근,"전세가율 62.1%, 월세비중 23.1%, 전세가 매매보다 9개월 선행, 임차 선행"
매매보다 임차가 먼저 강한 지역,서울특별시,중랑구,보수 접근,"전세가율 62.1%, 월세비중 23.1%, 전세가 매매보다 9개월 선행, 임차 선행"
기다려야 할 지역,서울특별시,강북구,보수 접근,"전세가율 62.5%, 월세비중 28.2%, 전세가 매매보다 8개월 선행, 임차 선행"
매매보다 임차가 먼저 강한 지역,서울특별시,강북구,보수 접근,"전세가율 62.5%, 월세비중 28.2%, 전세가 매매보다 8개월 선행, 임차 선행"
기다려야 할 지역,서울특별시,도봉구,보수 접근,"전세가율 62.9%, 월세비중 35.5%, 매매가 전세보다 3개월 선행"
기다려야 할 지역,인천광역시,부평구,보수 접근,"전세가율 68.3%, 월세비중 61.9%, 매매가 전세보다 1개월 선행, 월세 비중 높음"
월세 비중 높아 해석 주의 지역,인천광역시,부평구,보수 접근,"전세가율 68.3%, 월세비중 61.9%, 매매가 전세보다 1개월 선행, 월세 비중 높음"
기다려야 할 지역,강원특별자치도,춘천시,보수 접근,"전세가율 79.2%, 월세비중 42.7%, 매매가 전세보다 1개월 선행, 월세 비중 높음"
월세 비중 높아 해석 주의 지역,강원특별자치도,춘천시,보수 접근,"전세가율 79.2%, 월세비중 42.7%, 매매가 전세보다 1개월 선행, 월세 비중 높음"
기다려야 할 지역,인천광역시,남동구,보수 접근,"전세가율 70.9%, 월세비중 38.2%, 매매가 전세보다 1개월 선행"
기다려야 할 지역,서울특별시,서초구,보수 접근,"전세가율 36.0%, 월세비중 45.4%, 전세와 매매 전환 시점이 거의 동시, 월세 비중 높음"
월세 비중 높아 해석 주의 지역,서울특별시,서초구,보수 접근,"전세가율 36.0%, 월세비중 45.4%, 전세와 매매 전환 시점이 거의 동시, 월세 비중 높음"
기다려야 할 지역,서울특별시,마포구,보수 접근,"전세가율 44.9%, 월세비중 37.7%, 매매가 전세보다 3개월 선행"
기다려야 할 지역,서울특별시,강남구,보수 접근,"전세가율 37.0%, 월세비중 43.3%, 매매가 전세보다 2개월 선행, 월세 비중 높음"
월세 비중 높아 해석 주의 지역,서울특별시,강남구,보수 접근,"전세가율 37.0%, 월세비중 43.3%, 매매가 전세보다 2개월 선행, 월세 비중 높음"
기다려야 할 지역,서울특별시,용산구,보수 접근,"전세가율 38.2%, 월세비중 35.4%, 전세가 매매보다 8개월 선행"
기다려야 할 지역,인천광역시,미추홀구,보수 접근,"전세가율 70.4%, 월세비중 81.5%, 매매가 전세보다 1개월 선행, 월세 비중 높음"
월세 비중 높아 해석 주의 지역,인천광역시,미추홀구,보수 접근,"전세가율 70.4%, 월세비중 81.5%, 매매가 전세보다 1개월 선행, 월세 비중 높음"
기다려야 할 지역,제주특별자치도,제주시,보수 접근,"전세가율 68.4%, 월세비중 60.3%, 전세가 매매보다 6개월 선행, 월세 비중 높음, 임차 선행"
월세 비중 높아 해석 주의 지역,제주특별자치도,제주시,보수 접근,"전세가율 68.4%, 월세비중 60.3%, 전세가 매매보다 6개월 선행, 월세 비중 높음, 임차 선행"
매매보다 임차가 먼저 강한 지역,제주특별자치도,제주시,보수 접근,"전세가율 68.4%, 월세비중 60.3%, 전세가 매매보다 6개월 선행, 월세 비중 높음, 임차 선행"
매매보다 임차가 먼저 강한 지역,부산광역시,북구,우선 매수 검토,"전세가율 71.9%, 월세비중 32.9%, 전세가 매매보다 9개월 선행, 임차 선행"
매매보다 임차가 먼저 강한 지역,강원특별자치도,원주시,우선 매수 검토,"전세가율 78.7%, 월세비중 28.1%, 전세가 매매보다 4개월 선행, 임차 수요 기반 양호, 임차 선행"
매매보다 임차가 먼저 강한 지역,광주광역시,광산구,우선 매수 검토,"전세가율 74.7%, 월세비중 23.9%, 전세가 매매보다 2개월 선행, 임차 수요 기반 양호, 임차 선행"
월세 비중 높아 해석 주의 지역,광주광역시,남구,우선 매수 검토,"전세가율 73.1%, 월세비중 40.1%, 전세가 매매보다 1개월 선행, 월세 비중 높음, 임차 선행"
매매보다 임차가 먼저 강한 지역,광주광역시,남구,우선 매수 검토,"전세가율 73.1%, 월세비중 40.1%, 전세가 매매보다 1개월 선행, 월세 비중 높음, 임차 선행"
매매보다 임차가 먼저 강한 지역,부산광역시,부산진구,우선 매수 검토,"전세가율 69.0%, 월세비중 38.4%, 전세가 매매보다 1개월 선행, 임차 선행"
매매보다 임차가 먼저 강한 지역,전라남도,순천시,우선 매수 검토,"전세가율 80.4%, 월세비중 32.0%, 전세가 매매보다 3개월 선행, 임차 선행"
매매보다 임차가 먼저 강한 지역,경상남도,진주시,우선 매수 검토,"전세가율 77.7%, 월세비중 37.0%, 전세와 매매 전환 시점이 거의 동시, 임차 선행"
매매보다 임차가 먼저 강한 지역,전북특별자치도,익산시,회피,"전세가율 85.2%, 월세비중 17.5%, 전세가 매매보다 1개월 선행, 임차 수요 기반 양호, 임차 선행"
매매보다 임차가 먼저 강한 지역,충청남도,홍성군,회피,"전세가율 67.6%, 월세비중 20.0%, 전세가 매매보다 24개월 선행, 임차 수요 기반 양호, 임차 선행"
월세 비중 높아 해석 주의 지역,경상남도,밀양시,회피,"전세가율 78.8%, 월세비중 78.9%, 전세와 매매 전환 시점이 거의 동시, 월세 비중 높음, 임차 선행"
매매보다 임차가 먼저 강한 지역,경상남도,밀양시,회피,"전세가율 78.8%, 월세비중 78.9%, 전세와 매매 전환 시점이 거의 동시, 월세 비중 높음, 임차 선행"
매매보다 임차가 먼저 강한 지역,충청남도,서산시,회피,"전세가율 85.8%, 월세비중 25.6%, 전세가 매매보다 3개월 선행, 임차 수요 기반 양호, 임차 선행"
매매보다 임차가 먼저 강한 지역,부산광역시,서구,회피,"전세가율 70.0%, 월세비중 28.6%, 전세와 매매 전환 시점이 거의 동시, 임차 수요 기반 양호, 임차 선행"
매매보다 임차가 먼저 강한 지역,전북특별자치도,김제시,회피,"전세가율 87.5%, 월세비중 16.7%, 전세가 매매보다 4개월 선행, 임차 수요 기반 양호, 임차 선행"
월세 비중 높아 해석 주의 지역,충청북도,음성군,회피,"전세가율 61.9%, 월세비중 44.3%, 월세 비중 높음"
매매보다 임차가 먼저 강한 지역,충청남도,당진시,회피,"전세가율 82.7%, 월세비중 34.1%, 전세가 매매보다 2개월 선행, 임차 선행"
월세 비중 높아 해석 주의 지역,경상남도,사천시,회피,"전세가율 81.0%, 월세비중 43.5%, 매매가 전세보다 12개월 선행, 월세 비중 높음"
매매보다 임차가 먼저 강한 지역,충청남도,논산시,회피,"전세가율 78.8%, 월세비중 9.1%, 전세가 매매보다 1개월 선행, 임차 수요 기반 양호, 임차 선행"
매매보다 임차가 먼저 강한 지역,전라남도,무안군,회피,"전세가율 84.2%, 월세비중 36.4%, 전세가 매매보다 9개월 선행, 임차 선행"
매매보다 임차가 먼저 강한 지역,경상남도,거창군,회피,"전세가율 87.0%, 월세비중 36.4%, 전세가 매매보다 13개월 선행, 임차 선행"
