관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자,제공기관코드,제공기관명,시도
41220-00042,현촌 근린공원(현촌지구),근린공원,,경기도 평택시 용이동 602-2,36.997396,127.130501,45228.6,마라톤운동기+배드민턴장+배드민턴지주대+어깨근육풀기+옆파도타기+온몸근육풀기+온몸허리돌리기+하늘걷기,고무칩포장+그네+그네보호대+시소+조합놀이대,화장실,,PVC이중벽관+맹암거+수목보호홀덮개+우수관+집수정+트랜치,2010-09-24,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00016,사군자 근린공원(서재지구),근린공원,,경기도 평택시 동삭동 710,37.007972,127.097251,10715.0,배드민턴장+배드민턴지주대+온몸근육풀기+온몸역기올리기+온몸허리돌리기,,급수전+화장실,,4괘문양판석(마천석)+우수관+자연석쌓기+저류조옹벽(유속차단)+집수정+측구수로관,2005-01-05,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00017,사색 근린공원(서재지구),근린공원,,경기도 평택시 동삭동 719,37.012872,127.098871,11378.0,등허리지압기+배드민턴장+배드민턴지주대(이동식)+온몸근육풀기+온몸역기올리기+온몸허리돌리기,,,,PE관 설치+수목보호받침틀+스틸그레이팅+우수관+자연석쌓기+집수정+측구수로관+트랜치,2005-01-05,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00019,상서재동초 근린공원(동삭2지구),근린공원,,경기도 평택시 동삭동 산25-1,37.018494,127.098362,11296.0,,,,,,2014-03-17,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00020,상서재마당 근린공원(동삭2지구 근린2호),근린공원,,경기도 평택시 동삭동 산1,37.013885,127.102771,12214.0,,,,,,2013-05-08,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00021,생기자리 근린공원(용죽지구),근린공원,,경기도 평택시 용이동 산122번지,37.006435,127.136474,21262.6,배드민턴 라인마킹+배드민턴 포스트+배드민턴장+옆파도타기운동+오금펴기운동+온몸근육운동+하늘걷기운동+허리돌리기운동,강아지흔들놀이대+고양이흔들놀이대+모래포설+양흔들놀이대,음수전+자전거보관대+화장실,,배수관+야외관람석+오수관(토목공사분)(PVC PIPE)+오수맨홀(토목공사분)+유공관+집수정+트렌치B+화장실 기초 타설,2010-11-24,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00022,세교 근린공원(세교지구),근린공원,,경기도 평택시 세교동 556-1,37.002585,127.083758,10133.9,농구대+농구장+등허리지압기+마라톤운동기+벤치프레스+온몸근육풀기+온몸노젓기+온몸역기올리기+온몸허리돌리기+윗몸일으키기+지압보도+하늘걷기,고무칩포장+그네+그네보호대+물놀이시설+시소+아쿠아눈사람+아쿠아트리바스켓+아쿠아플라워+연꽃샤워+조합놀이대,음수대+화장실,,쇠기둥조형물+시계탑+조형옹벽,1992-03-13,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00023,솔숲 근린공원(소사2지구),근린공원,,경기도 평택시 소사동 산13-1,36.990325,127.130417,19494.0,,,,,,2011-07-14,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00024,송화 근린공원,근린공원,,경기도 평택시 팽성읍 송화리 106-1,36.958616,127.057677,41950.0,,,,,,1994-04-04,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00025,신흥 근린공원(신흥지구),근린공원,,경기도 평택시 용이동 744-1번지,37.003764,127.148865,17877.0,농구대+농구장+다목적경기장+등허리지압기+마라톤운동+배드민턴장+온몸노젓기+하늘걷기+허리돌리기,그네+놀이시설 경계+조합놀이대+흔들놀이,음수대+자전거보관대(10대용)+화장실,,가든테이블세트+수목보호홀덮개+연결관로+우수관로+원형맨홀+집수정+횡단배수로,2010-09-27,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00026,안정 근린공원,근린공원,경기도 평택시 팽성읍 안정순환로267번길 42,경기도 평택시 팽성읍 송화리 68-55,36.960697,127.053128,26350.0,다리뻗치기+등허리지압기+마라톤운동+옆파도타기+온몸근육풀기+온몸노젓기+온몸역기내리기+온몸역기올리기+온몸허리돌리기+테니스 네트대+테니스장+하늘걷기,그네+모래포설+조합놀이대+흔들놀이,화장실,,기념비석+맹암거(간선)+맹암거(지선)+배변용모래밭+배수로+빗물받이+애견배변봉투함+우수관+조형석+집수정+테니스 연습옹벽+트랜치,1975-07-12,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00027,역사유적 근린공원(소사지구),근린공원,,경기도 평택시 소사동 506,36.987599,127.120279,13057.0,다리근육풀기+등허리지압기+온몸역기올리기+윗몸일으키기+지압보도+하늘걷기,,계단 중앙 분리 펜스,,U형측구+운동시설보호대+유구설명석+자연석쌓기+집수정+측구배수+트랜치,2005-01-31,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00028,영신 제1호 근린공원(영신지구),근린공원,경기도 평택시 영신로 108 (동삭동),경기도 평택시 동삭동 589-3,37.018323,127.083491,13139.0,,,,,,2010-01-29,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00029,영신이들 근린공원(지제 세교지구),근린공원,,경기도 평택시 세교동 392답,37.01125,127.073562,13847.0,,,,,,2013-09-03,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00030,용이 근린공원(용이지구 3호),근린공원,경기도 평택시 현신3길 13 (용이동),경기도 평택시 용이동 441-1,36.996314,127.136287,21590.0,다리뻗치기+마라톤운동기+옆파도타기+온몸근육풀기+온몸역기내리기+온몸허리돌리기+윗몸일으키기+하늘걷기,벽사다리놀이기+시소+조합놀이대+탄성고무칩포장+흔들놀이,음수전+화장실+휠체어경사로,계단식관람석,PVC이중벽관+U형측구+떼수로+배수로+상수관로+새들분수전+집수정,2003-12-04,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00031,원동 근린공원 (모산영신지구),근린공원,경기도 평택시 지제동삭1로 163 (동삭동 더샵지제역센트럴파크1BL아파트),경기도 평택시 동삭동 467-9,37.020635762,127.0929779871,11669.0,,,,,,2009-09-30,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00032,은실 근린공원,근린공원,,경기도 평택시 세교동 산86-1,37.006568,127.081995,276422.0,,,,,,1972-08-25,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00033,이화 근린공원(용이지구 2호),근린공원,,경기도 평택시 용이동 483,36.999855,127.145107,16742.0,마라톤운동기+옆파도타기+온몸근육풀기+온몸역기내리기+온몸허리돌리기+윗몸일으키기+자유철봉기,조합놀이대+탄성고무칩포장+흔들놀이,음수전+화장실,,PVC이중벽관+U형측구+떼수로+배수로+상수관로+새들분수전,2003-12-04,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00034,죽백 근린공원(용죽지구),근린공원,,경기도 평택시 용이동 561-1번지,37.001502,127.14932,49638.6,옆파도타기운동+오금펴기운동+온몸근육풀기운동+하늘걷기운동+허리돌리기운동,그네놀이대+놀이시설 경계+조합놀이대1+흔들놀이대,자전거보관대+화장실,,배수관+오수관(토목공사분)(PVC PIPE)+오수맨홀(토목공사분)+집수정+측구수로관,2010-11-24,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00001,잔다리 근린공원,근린공원,,경기도 평택시 세교동 55,37.004773,127.087643,11209.0,,,,,,2010-04-01,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00002,남산 근린공원,근린공원,경기도 평택시 팽성읍 팽성송화로 76,경기도 평택시 팽성읍 남산리 산49-1,36.954556,127.054893,43411.0,,,,,,2010-12-30,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00003,남산공원,근린공원,경기도 평택시 팽성읍 송화택지로25번길 63,경기도 평택시 팽성읍 송화리 789,36.961612,127.060809,15253.8,게이트볼장+마라톤운동기+심판의자+옆파도타기+온몸근육풀기+온몸노젓기+온몸역기올리기+온몸허리돌리기+윗몸일으키기+족구대+족구장+철봉+평행봉+하늘걷기,그네+그네보호대+모래포장+조합놀이대+흔들놀이,음수대+화장실,,맹암거(간선)+맹암거(지선)+빗물받이+옹벽+우수관+원형수로관+조각 조형물(가족)+집수정+트랜치,1999-03-19,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00004,농성 근린공원,근린공원,,경기도 평택시 팽성읍 안정리 78-27,36.965206,127.043748,29511.0,다리뻗치기+등허리지압기+옆파도타기+온몸근육풀기+온몸허리돌리기+평행봉+하늘걷기,,화장실,,기념비+기념비석+우수맨홀+집수정+충무공 임팔급 기념비+통합기준점+트랜치,1988-05-11,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00005,다솜 근린공원(소사벌택지 1호),근린공원,,경기도 평택시 비전동 1005-1 1028-3 1089-3,37.002667,127.093562,59205.0,등허리지압기+레그프레스+마라톤운동 장형+배드민턴장+배드민턴지주대+옆파도타기+온몸역기내리기+온몸허리돌리기+윗몸일으키기+파크골프장+하늘걷기,,자전거보관대+화장실,,맹암거+오수맨홀+우수관+우수관로+원형맨홀+집수정,2007-11-07,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00006,당산 근린공원(소사벌택지 3호),근린공원,,경기도 평택시 죽백동 728공,37.009141,127.116307,42417.7,레그프레스+롤링웨이스트(일반형)+바디싣업+스트레칭로라+체어웨이트+크로스컨트리+트윈트위스트,,자전거보관대+화장실,,PE원형개량오수받이+상수관로+오수관로(PVC이중벽관+관급)+옹벽+우수관로(PVC이중벽관+관급)+원형수로관+집수정-녹지용+집수정-포장용+측구수로관(녹지용)+측구수로관(포장용)+토목(산마루측구)+트랜치,2007-11-07,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00007,덕동산 근린공원(비전지구),근린공원,,경기도 평택시 비전동 산84-14,36.997727,127.100058,145023.0,네트걸이+농구대+농구장+다리걸기+다리뻗치기+등부딪히기+등허리지압기+마라톤운동기+매달리기+미니철봉+배드민턴장+벤치프레스+양팔줄당기기+어깨근육풀기+옆파도타기+온몸근육풀기+온몸노젓기+온몸역기올리기+온몸허리돌리기+원형목재 평균대+윗몸일으키기+지압보도+철기둥+철봉+철봉+링+팔굽혀피기+평균대+평행봉+하늘걷기+하늘사다리+허벅지근육풀기,나무숲걷기마당+모래놀이마당+모험놀이마당+실외교구 놀이마당+체험 놀이마당,급수전+음수대+자전거거치대+화장실,,U형측구+기념 헌정탑+디자인집수정+무덤+사당+위령비석+자연보호헌정기념비+정화조 맨홀+집수정+트랜치+현충탑,1953-03-11,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00008,동부 근린공원(비전3지구),근린공원,경기도 평택시 동부공원로 46 (비전동),경기도 평택시 비전동 880,36.993988,127.118683,29821.0,게이트볼장+농구대(이동식)+다리걸치기+데크관람대+배드민턴장+배드민턴지주대+벤치프레스+어깨근육풀기+옆파도타기+온몸근육풀기+온몸노젓기+온몸허리돌리기+운동장+윗몸일으키기+지압보도+철봉+철봉+링+팔굽혀피기+평행봉+풋살경기장+하늘걷기,그네+그네보호대+모래포장+인공암벽놀이대+조합놀이대+흔들놀이,음수전+화장실,,나트륨섭취관련 조형물+손씻기 조형물+집수정+청소년 담배끊기 조형물+치아건강 조형물+칼로리 둥근 조형물+트랜치,1994-01-11,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00009,동부그린 근린공원(비전3지구),근린공원,,경기도 평택시 비전동 875,36.996786,127.117584,10578.0,농구대+어깨근육풀기+온몸허리돌리기+운동장+족구대+철봉+평행봉+하늘걷기,그네+그네보호대+모래포장+조합놀이대+흔들놀이,화장실,,조형석+집수정,1994-01-11,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00010,동삭 근린공원(동삭지구 1호),근린공원,경기도 평택시 동삭1로22번길 40 (동삭동 지제더샵센트럴파크아파트),경기도 평택시 동삭동 산38-2,37.020635762,127.0929779871,11039.0,,,,,,2009-03-09,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00011,모산 근린공원,근린공원,,경기도 평택시 동삭동 396,37.014183,127.093286,277794.0,어깨근육풀기+옆파도타기+온몸노젓기+온몸허리돌리기+하늘걷기,,화장실,,게이트벨브+빗물받이+상수관+오수관+오수맨홀+오수받이+우수관+집수정,1989-08-19,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00012,배나무 근린공원(소사벌택지 4호),근린공원,,경기도 평택시 죽백동 764공,37.006145,127.116709,44947.1,고무칩포장+레그프레스+롤링웨이스트(일반형)+바디싣업+스텝싸이클+스트레칭로라+원형뜀틀+체어웨이트+크로스컨트리+트윈트위스트,,자전거보관대,,스틸그레이팅+압연강판그레이팅+옹벽+우수관로(PVC이중벽관)+월류관+집수정-녹지용+집수정-포장용+측구수로관(녹지용)+측구수로관(포장용),2007-11-07,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00013,배다리 근린공원(소사벌택지 5호),근린공원,,경기도 평택시 죽백동 800공,37.001031,127.11924,277072.9,고무칩포장+다리뻗치기+등허리지압기+스텝싸이클+어깨근육풀기+옆파도타기+온몸역기올리기+온몸허리돌리기+윗몸일으키기+하늘걷기,고무칩포장+조형나무폴+클라이밍,램프+음수대+자전거보관대+화장실,,PE원형개량오수받이+배수관(PVC이중벽관)+벤치플륨관+스틸그레이팅+우수관로(PVC이중벽관+관급)+원형맨홀+자연석쌓기+준공기념비+집수정+집수정-녹지용+집수정-트렌치용+측구수로관+트랜치,2007-11-07,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00015,비전 근린공원(매봉산),근린공원,경기도 평택시 매봉산5길 29 (비전동),경기도 평택시 비전동 274-6,36.995058,127.103395,99999.0,,,,,,1975-11-15,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
11500-00140,마곡지구4호,근린공원,,서울특별시 강서구 마곡동 811-5,37.568317,126.826463,35884.0,,수경시설+어린이놀이시설,화장실,,,,서울특별시 강서구청,02-2600-4186,2025-04-02,3150000,서울특별시 강서구,서울특별시
41220-00469,문화공원 2호(황해경제구역 현덕지구),문화공원,,경기도 평택시 현덕면 장수리 353-3,36.933907,126.903334,27298.0,,,,,,2016-06-17,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00393,신촌 쇠물뿌리 체육공원(신촌지구  동부 102호),체육공원,,경기도 평택시 칠원동 581,37.0243242622,127.1040211769,10849.0,,,,,,2009-12-16,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00394,제1호 체육공원(브레인시티),체육공원,,경기도 평택시 도일동 582-3,37.049115,127.106627,10110.0,,,,,,2010-03-15,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00395,제2호 체육공원(브레인시티),체육공원,,경기도 평택시 가재동 128,37.038626,127.087233,15574.0,,,,,,2010-03-15,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00396,1호 도란뜰 근린공원(화양지구),근린공원,,경기도 평택시 안중읍 현화리 산350-4임,36.987556,126.90609,11082.0,,,,,,2013-10-04,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00296,수변공원 2호(고덕국제화지구 궁리),수변공원,,경기도 평택시 고덕면 궁리 303-2목,37.027408,127.0333,67862.0,,,,,,2013-01-04,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00297,수변공원 3호(고덕국제화지구 해창리),수변공원,,경기도 평택시 고덕면 해창리 66답,37.030342,127.031781,56051.0,,,,,,2013-01-04,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00298,수변공원 4호(고덕국제화지구 궁리),수변공원,,경기도 평택시 고덕면 궁리 310답,37.030414,127.033791,15746.0,,,,,,2013-01-04,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00301,수변공원 7호(고덕국제화지구 여염리),수변공원,,경기도 평택시 고덕동 2746-1,37.036833,127.0407259775,35231.0,,,,,,2013-01-04,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00302,수변공원 8호(고덕국제화지구 율포리),수변공원,,경기도 평택시 고덕동 2744-1,37.0406713164,127.043488019,11150.0,,,,,,2013-01-04,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00303,수변공원 9호(고덕국제화지구 여염리),수변공원,,경기도 평택시 고덕동 2748-1,37.0402448818,127.0444506163,11782.0,,,,,,2013-01-04,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00304,수변공원(브레인시티),수변공원,경기도 평택시 삼남로 236 (도일동),경기도 평택시 도일동 983-7,37.048381,127.098853,61615.0,,,,,,2010-03-15,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00305,수촌1 수변공원(수촌지구),수변공원,,경기도 평택시 칠원동 289-25,37.0199319257,127.1138949335,21187.0,,,,,,2009-12-16,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00308,통복2 수변공원(수촌지구),수변공원,경기도 평택시 수촌길 50 (칠원동),경기도 평택시 칠원동 286,37.020802,127.113503,13256.0,,,,,,2009-12-16,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00288,소풍정원,수변공원,,경기도 평택시 고덕면 궁리 424-25,37.011844,127.020575,112245.0,,그네+그네보호대+모래포장+반원터널분수+우산워터드롭+워터샤워+조합놀이대+탄성고무칩포장,샤워장+세척장+음수전+화장실,,PE이중벽관+맹암거+미로원+빗물받이+소풍정원액자 포토존+수질정화기+엣지+자연석쌓기+집수정,2016-02-29,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00289,수변공원 10호(고덕국제화지구 율포리),수변공원,,경기도 평택시 고덕동 1987-3,37.0435086102,127.046897467,11800.0,,,,,,2013-01-04,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00290,수변공원 11호(고덕국제화지구 여염리),수변공원,,경기도 평택시 고덕동 2116-2,37.042913,127.0474583269,10395.0,,,,,,2013-01-04,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00291,수변공원 12호(고덕국제화지구 율포리),수변공원,,경기도 평택시 고덕동 1968-2,37.0464095955,127.0475877237,26763.0,,,,,,2013-01-04,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00292,수변공원 13호(고덕국제화지구  장당동),수변공원,,경기도 평택시 고덕동 1968-5,37.046130793,127.048831758,13428.0,,,,,,2013-01-04,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00294,수변공원 15호(고덕국제화지구  장당동),수변공원,,경기도 평택시 장당동 524-58답,37.04907,127.052502,30638.0,,,,,,2013-01-04,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00266,부락산 문화공원(동부 130호),문화공원,,경기도 평택시 지산동 519-4,37.0714,127.075284,101095.0,U형 네트브릿지+경사 사다리+등허리지압기+로그터널+마법다리+버마래더+버켓 브릿지+버티칼 네트+수평네트+스네이크 브릿지+스노우모바일+스윙플랫폼+스카이 버켓+스카이버마+스카이벌룬+스텝 브릿지+스틱타잔스윙+스파이더 웹+아일랜드+어깨근육풀기+온몸근육풀기+엑스크로스+옆파도타기+옆파도타기+하늘걷기+온몸근육풀기+온몸근육풀기+마라톤운동+온몸허리돌리기+윗몸일으키기+인디아나 브릿지+자유철봉+정글로프+지압보도+체스 브릿지+콤플렉스 래더+평행봉+플라이 짚+하늘걷기+,,음수전+자전거거치대+화장실,,기념비+자연석쌓기+측량기준점+트랜치,2013-04-15,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00468,문화공원 1호(황해경제구역 현덕지구),문화공원,,경기도 평택시 현덕면 장수리 300-9,36.936623,126.905903,29103.0,,,,,,2016-06-17,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00230,송탄 근린공원(지산초록공원),근린공원,,경기도 평택시 지산동 산 182-3,37.078655,127.059925,182249.0,게이트볼장+고무매트포장+넓적다리펴기운동+농구대+다리올리기+등부딪히기+등허리지압기+마라톤운동기+매달리기+배드민턴장+배드민턴지주대+벤치프레스+옆파도타기+오금펴기+온몸노젓기+온몸근육풀기+온몸노젓기+온몸역기내리기+온몸허리돌리기+윗몸일으키기+인라인스케이트장+자유철봉+지압보도+철봉+링+팔굽혀피기+평행봉+하늘걷기,고무매트포장+고무칩포장+구름사다리+그네+그네보호대+시소+조합놀이대+흔들놀이,급수전+음수대+자전거거치대+주차장+화장실,,무덤+배수로+옹벽+자연석쌓기+트랜치,1976-12-18,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00231,수촌 근린공원(수촌지구),근린공원,,경기도 평택시 칠원동 313-1,37.01944,127.109343,12249.0,,,,,,2009-12-16,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00232,신장 근린공원,근린공원,경기도 평택시 신장로 124 (신장동),경기도 평택시 신장동 370-2,37.085894,127.051198,89174.0,2단 철봉+게이트볼장+농구대(이동식)+농구장+다리뻗치기+등허리지압기+마라톤운동기+벤치프레스+어깨근육풀기+옆파도타기+온몸근육풀기+온몸노젓기+온몸역기올리기+온몸허리돌리기+윗몸일으키기+인라인스케이트장+족구장+족구지주+하늘걷기,고무칩포장+그네+모형기차+조합놀이대,음수전+자전거보관대+화장실,,빗물받이+수목보호대+옹벽+우수관+준공기념비+측구수로,1987-05-11,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00233,신촌 새말 근린공원(신촌지구 동부 101호),근린공원,,경기도 평택시 칠원동 산36-36,37.024067,127.104973,12317.0,,,,,,2009-12-16,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00234,여염 근린공원(고덕일반산업단지),근린공원,,경기도 평택시 고덕면 여염리 1650공,37.03082,127.055173,56087.7,생활체육시설 A(온몸돌리기)+생활체육시설 B(마라톤운동)+생활체육시설 C(온몸노젖기)+생활체육시설 D(윗몸일으키기)+생활체육시설 E(공중걷기)+생활체육시설 F(옆파도타기),,램프+램프뒤 자갈채움+화장실,,PE빗물받이+경관옹벽+배수관(PE이중벽관)+상수관로+수로관덮개 C+시설물표찰+식수대 화산석포설+오수관로+오수맨홀(원형)+자연석쌓기 A+집수정A+집수정B+측구A+측구수로관+측구수로관A+측구수로관B,2010-11-16,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
41220-00236,장당 근린공원,근린공원,,경기도 평택시 이충동 615,37.050776,127.057345,10254.6,다리뻗치기+마라톤운동기+양팔줄당기기+온몸허리돌리기+윗몸일으키기+지압보도+하늘걷기,고무칩포장+그네+시소+조합놀이대,음수전+자전거거치대+화장실,관람대,비만탈출코끼리 조형물+수목보호대+집수정+측량기준점+트랜치+화장실 경계벽,2002-10-25,경기도 평택시청,031-8024-4248,2025-02-17,3910000,경기도 평택시,경기도
