번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),점포구분명,Unnamed: 29,위도,경도
32,대규모점포,08_25_01_P,4000000,2025400019407500001,2025-05-01,,1,영업/정상,1,정상영업,,,,,031-371-2501,8575.0,,경기도 오산시 오산동 868 롯데마트오산점,"경기도 오산시 경기대로 271, 롯데마트오산점 (오산동)",18135,롯데쇼핑(주)롯데마트,2025-05-07 18:06:04,U,2025-05-09 02:40:00,대형마트,206416.225089197,405292.957866229,대규모점포,,37.149426,127.073016
33,대규모점포,08_25_01_P,3510500,2025351057907500005,2025-04-24,,1,영업/정상,1,정상영업,,,,,032-242-2805,59168.33,,"인천광역시 미추홀구 관교동 15 인천종합터미널,롯데백화점","인천광역시 미추홀구 연남로 35, 인천종합터미널,롯데백화점 (관교동)",22242,롯데쇼핑(주)인천점,2025-04-24 12:58:24,I,2025-04-26 00:10:03,백화점,173499.267314606,437739.32138498,대규모점포,,37.441418,126.70133
49,대규모점포,08_25_01_P,5350000,2024535037407500001,2024-12-27,,1,영업/정상,1,정상영업,,,,,055-371-6000,14842.0,,경상남도 김해시 삼정동 941 메가마트 김해점,"경상남도 김해시 김해대로2492번길 20, 메가마트 김해점 (삼정동)",50935,메가마트 김해점,2024-12-27 10:09:20,I,2024-12-29 00:12:04,대형마트,372941.32985139,193521.212396072,대규모점포,,35.226069,128.900375
56,대규모점포,08_25_01_P,3240000,2024324028907500003,2024-11-14,,1,영업/정상,1,정상영업,,,,,02-557-8828,66630.64,,서울특별시 강동구 고덕동 353-23,,,고덕비즈밸리 유통판매 복합시설,2025-06-25 17:09:55,U,2025-06-27 02:40:00,복합쇼핑몰,213847.923700142,451564.469961363,대규모점포,,37.566261,127.157531
59,대규모점포,08_25_01_P,3020000,2022302020307500001,2024-10-28,,1,영업/정상,1,정상영업,,,,,02-716-3872,13126.83,,서울특별시 용산구 한강로2가 15-2 나진상가,"서울특별시 용산구 청파로 125, 나진상가 (한강로2가)",04370,"나진상가 17,18동",2024-10-31 16:35:01,I,2024-11-02 00:12:14,전문점,196873.001604976,447960.206197372,대규모점포,,37.533884,126.965409
60,대규모점포,08_25_01_P,3150000,2024315020007500002,2024-10-25,,1,영업/정상,1,정상영업,,,,,02-3487-6056,27422.0,,서울특별시 강서구 마곡동 767-4 롯데캐슬 르웨스트,"서울특별시 강서구 마곡중앙로 111 (마곡동, 롯데캐슬 르웨스트)",07797,LEWEST B관,2025-09-18 17:02:44,U,2025-09-21 02:40:00,그 밖의 대규모점포,184504.783680584,451283.535222297,대규모점포,,37.563701,126.825406
61,대규모점포,08_25_01_P,3150000,2024315020007500003,2024-10-25,,1,영업/정상,1,정상영업,,,,,02-3487-6056,32442.38,,서울특별시 강서구 마곡동 767,서울특별시 강서구 마곡중앙로 143 (마곡동),07797,LEWEST A관,2025-08-18 15:01:31,U,2025-08-21 02:40:00,그 밖의 대규모점포,184522.907834771,451531.924488537,대규모점포,,37.565939,126.825605
71,대규모점포,08_25_01_P,5080000,2024508034907500001,2024-08-26,,1,영업/정상,1,정상영업,,,,,,3027.82,,경상북도 구미시 고아읍 원호리 223-3,경상북도 구미시 고아읍 들성로 119-11,39146,HS식자재도매유통 구미점,2025-12-09 09:23:01,U,2025-12-11 02:40:00,대형마트,319916.169862581,296003.377355709,대규모점포,,36.157202,128.333388
72,대규모점포,08_25_01_P,3120000,2024312021907500003,2024-07-25,,1,영업/정상,1,정상영업,,,,,02-304-4025,7391.45,,서울특별시 서대문구 남가좌동 396 DMC금호리첸시아,"서울특별시 서대문구 수색로2길 39, B1,1,2층 (남가좌동, DMC금호리첸시아)",03712,DMC금호리첸시아몰,2024-07-26 11:58:21,I,2024-07-28 00:14:06,그 밖의 대규모점포,192482.416512858,452143.491541077,대규모점포,,37.571549,126.915691
74,대규모점포,08_25_01_P,3930000,2024393048207500001,2024-07-23,,1,영업/정상,1,정상영업,,,,,484-5332,19927.49,,경기도 안산시 단원구 고잔동 533,경기도 안산시 단원구 당곡로 20 (고잔동),15360,현대타워랜드,2024-07-25 14:18:15,I,2024-07-27 00:13:37,그 밖의 대규모점포,185196.01753702,424100.3316153,대규모점포,,37.318791,126.833777
80,대규모점포,08_25_01_P,3560000,2024356022207500001,2024-06-27,,1,영업/정상,1,정상영업,,,,,,3139.28,,인천광역시 서구 청라동 165-12 지젤엠청라,"인천광역시 서구 청라에메랄드로 99, 지젤엠청라 (청라동)",22738,주식회사 청라지젤엠,2024-06-27 13:36:07,I,2024-06-29 00:14:02,그 밖의 대규모점포,169500.0,447993.88,대규모점포,,37.533687,126.655713
84,대규모점포,08_25_01_P,3240000,2024324028907500001,2024-06-18,,1,영업/정상,1,정상영업,,,,,02-479-2384,31500.83,,서울특별시 강동구 천호동 423-200,,,강동밀레니얼 중흥S-클래스 쇼핑센터,2024-12-05 09:09:19,U,2024-12-07 02:40:00,쇼핑센터,211150.812213612,448805.145144628,대규모점포,,37.541436,127.126961
86,대규모점포,08_25_01_P,5710000,2024571023607500001,2024-05-28,,1,영업/정상,1,정상영업,,,,,043-223-3458,47307.68,,충청북도 청주시 흥덕구 가경동 1416 고속버스터미널,"충청북도 청주시 흥덕구 2순환로 1229, 고속버스터미널 (가경동)",28396,청주센트럴시티,2025-10-16 15:51:55,U,2025-10-18 02:40:00,쇼핑센터,238449.433440246,347396.698510935,대규모점포,,36.626976,127.430661
87,대규모점포,08_25_01_P,4711000,2024471101507500002,2024-05-27,,1,영업/정상,1,정상영업,,,,,063-540-9311,21138.68,,전북특별자치도 김제시 용지면 부교리 57-22 모다아울렛,"전북특별자치도 김제시 용지면 콩쥐팥쥐로 855, 모다아울렛",54334,모다아울렛,2024-05-27 18:46:20,I,2024-05-29 00:14:27,대형마트,199319.139170008,257448.484296989,대규모점포,,35.817141,126.99327
88,대규모점포,08_25_01_P,4050000,2024405053807500001,2024-05-20,,1,영업/정상,1,정상영업,,,,,07052281224,8528.19,,경기도 용인시 기흥구 중동 31-5,경기도 용인시 기흥구 동백죽전대로175번길 6 (중동),16995,링크맘,2025-10-02 15:46:32,U,2025-10-05 02:40:00,전문점,214120.476410312,417325.614126043,대규모점포,,37.257761,127.159965
89,대규모점포,08_25_01_P,5670000,2024567074607500007,2024-05-13,,1,영업/정상,1,정상영업,,,,,055-240-1041,26674.69,,경상남도 창원시 마산합포구 산호동 10-3 신세계백화점,"경상남도 창원시 마산합포구 합포로 251, 신세계백화점 (산호동)",51330,(주)신세계 마산점,2024-05-13 10:19:33,I,2024-05-15 00:14:39,백화점,344361.357213009,192302.09720122,대규모점포,,35.219601,128.58636
91,대규모점포,08_25_01_P,3170000,2024317025707500001,2024-04-29,,1,영업/정상,1,정상영업,,,,,02-890-8122,0.0,,서울특별시 금천구 시흥동 992-47 홈플러스테스테스코(주)시흥점,"서울특별시 금천구 시흥대로 201, 홈플러스테스테스코(주)시흥점 (시흥동)",08632,홈플러스 주식회사,2024-04-29 15:44:46,I,2024-05-01 00:15:26,대형마트,191152.432649234,438865.160717275,대규모점포,,37.4519,126.900797
94,대규모점포,08_25_01_P,5670000,2024567074607500005,2024-04-24,,1,영업/정상,1,정상영업,,,,,055-211-1052,10909.0,,경상남도 창원시 성산구 중앙동 91 창원이마트,"경상남도 창원시 성산구 원이대로 608, 창원이마트 (중앙동)",51515,이마트 창원점,2024-04-24 13:40:14,I,2024-04-26 00:14:55,대형마트,352870.655048828,193192.657445858,대규모점포,,35.226366,128.67995
95,대규모점포,08_25_01_P,5670000,2024567074607500006,2024-04-24,,1,영업/정상,1,정상영업,,,,,,11192.0,,경상남도 창원시 마산합포구 중앙동3가 4-1 이마트,"경상남도 창원시 마산합포구 서성로 3, 이마트 (중앙동3가)",51735,이마트 마산점,2024-04-24 13:35:35,I,2024-04-26 00:14:55,대형마트,342886.064848583,189864.336045851,대규모점포,,35.197848,128.569739
96,대규모점포,08_25_01_P,5310000,2024531031407500001,2024-04-23,,1,영업/정상,1,정상영업,,,,,,3240.46,,"경상남도 진주시 정촌면 예하리 1279-1 2, 9, 10",,,진주남부농협 하나로마트,2024-07-20 14:43:52,U,2024-07-22 02:40:00,그 밖의 대규모점포,300211.354606774,181815.943424691,대규모점포,,35.130479,128.100275
98,대규모점포,08_25_01_P,4400000,2024440029707500001,2024-04-15,,1,영업/정상,1,정상영업,,,,,043-641-1052,0.0,,충청북도 제천시 강제동 684 제천E-MART,"충청북도 제천시 장평천로 11, 제천E-MART (강제동)",27198,이마트,2024-04-15 10:22:05,I,2024-04-17 00:15:02,대형마트,308612.065962418,403106.413353613,대규모점포,,37.123454,128.222936
103,대규모점포,08_25_01_P,5670000,2024567074607500004,2024-03-26,,1,영업/정상,1,정상영업,,,,,055-282-8142,5720.0,,경상남도 창원시 성산구 대방동 355 성원3차아파트상가,"경상남도 창원시 성산구 대암로 80, 성원3차아파트상가 (대방동)",51462,성원3차종합상가,2024-03-26 16:37:10,I,2024-03-28 00:15:57,그 밖의 대규모점포,355345.158946828,191953.984254067,대규모점포,,35.214826,128.706886
105,대규모점포,08_25_01_P,4711000,2024471101507500001,2024-03-07,,1,영업/정상,1,정상영업,,,,,063-540-8230,13766.59,,전북특별자치도 김제시 검산동 838,전북특별자치도 김제시 금성로 114 (검산동),54399,홈플러스(주) 김제점,2024-03-07 15:37:26,I,2024-03-09 00:15:37,대형마트,191146.883710671,255517.370352134,대규모점포,,35.799697,126.902862
106,대규모점포,08_25_01_P,3510500,2024351057907500006,2024-03-04,,1,영업/정상,1,정상영업,,,,,,15498.0,,인천광역시 미추홀구 학익동 720-16 홈플러스,"인천광역시 미추홀구 소성로 6, 홈플러스 (학익동)",22201,홈플러스 (주) 인하점,2025-01-13 17:08:25,U,2025-01-15 02:40:00,대형마트,169028.062637712,438450.444079289,대규모점포,,37.447686,126.650776
107,대규모점포,08_25_01_P,3510500,2024351057907500007,2024-03-04,,1,영업/정상,1,정상영업,,,,,032-719-2020,19460.55,,인천광역시 미추홀구 숭의동 180-6,"인천광역시 미추홀구 석정로 51, 홈플러스 (숭의동)",22160,홈플러스 인천 숭의점,2024-03-04 11:14:32,I,2024-03-06 00:15:38,대형마트,,,대규모점포,,,
110,대규모점포,08_25_01_P,5670000,2024567074607500002,2024-03-04,,1,영업/정상,1,정상영업,,,,,055-540-8122,12780.0,,경상남도 창원시 진해구 이동 536-10 홈플러스진해점,"경상남도 창원시 진해구 충장로 356, 홈플러스진해점 (이동)",51687,홈플러스 진해점,2024-03-04 18:30:11,I,2024-03-06 00:15:38,대형마트,354027.572779734,185091.047013466,대규모점포,,35.153197,128.69114
111,대규모점포,08_25_01_P,5670000,2024567074607500003,2024-03-04,,1,영업/정상,1,정상영업,,,,,055-259-8120,27684.74,,경상남도 창원시 마산회원구 양덕동 151-1 삼성홈플러스,"경상남도 창원시 마산회원구 삼호로 56, 삼성홈플러스 (양덕동)",51320,홈플러스 마산점,2024-03-04 18:22:34,I,2024-03-06 00:15:38,대형마트,344300.256802514,192639.515073523,대규모점포,,35.22265,128.585748
112,대규모점포,08_25_01_P,5670000,2024567074607500001,2024-03-04,,1,영업/정상,1,정상영업,,,,,055-270-8124,30100.0,,경상남도 창원시 의창구 팔용동 30-3 삼성홈플러스,"경상남도 창원시 의창구 창원대로 415, 삼성홈플러스 (팔용동)",51393,홈플러스 창원점,2024-03-04 18:19:11,I,2024-03-06 00:15:38,대형마트,349554.531300316,193997.823602934,대규모점포,,35.23412,128.643685
113,대규모점포,08_25_01_P,3510500,2024351057907500005,2024-02-26,,1,영업/정상,1,정상영업,,,,,032-459-6002,34492.0,,인천광역시 미추홀구 주안동 0 포레나 미추홀,"인천광역시 미추홀구 경인로 372 (주안동, 포레나 미추홀)",22148,아인애비뉴 메디&라이프 복합몰,2024-12-19 11:36:58,U,2024-12-21 02:40:00,그 밖의 대규모점포,,,대규모점포,,,
124,대규모점포,08_25_01_P,3150000,2024315020007500001,2024-01-10,,1,영업/정상,1,정상영업,,,,,02-6925-2518,45167.97,,서울특별시 강서구 마곡동 769,"서울특별시 강서구 공항대로 165, (마곡동 769 및 769-1)        [마곡지구 특별계획구역 CP4블록] (마곡동)",07800,원그로브몰,2024-12-09 16:02:51,U,2024-12-11 02:40:00,쇼핑센터,184449.736274095,451015.135227088,대규모점포,,37.561282,126.824788
126,대규모점포,08_25_01_P,3040000,2024304019007500001,2024-01-05,,1,영업/정상,1,정상영업,,,,,02-444-8604,34138.84,,서울특별시 광진구 자양동 680-63 판매시설,"서울특별시 광진구 아차산로 402, 판매시설 (자양동)",05050,넥스트커넥트피에프브이 (주)이스트폴 판매시설,2025-09-03 16:30:07,U,2025-09-05 02:40:00,쇼핑센터,207770.197118183,448131.0613924,대규모점포,,37.535397,127.088702
128,대규모점포,08_25_01_P,3170000,2023317025707500001,2023-12-29,,1,영업/정상,1,정상영업,,,,,02-422-0310,18020.0,,서울특별시 금천구 가산동 60-26,서울특별시 금천구 디지털로 178 (가산동),08513,가산퍼블릭 상업시설,2025-01-09 10:55:08,U,2025-01-11 02:40:00,그 밖의 대규모점포,189930.50790426,441616.460710064,대규모점포,,37.476677,126.88695
132,대규모점포,08_25_01_P,3510500,2023351057907500006,2023-12-18,,1,영업/정상,1,정상영업,,,,,032-459-6002,6472.96,,인천광역시 미추홀구 주안동 0 포레나 미추홀,"인천광역시 미추홀구 경인로 372 (주안동, 포레나 미추홀)",22148,아인애비뉴 메디&라이프 복합몰,2024-02-21 17:51:41,U,2024-02-23 02:40:00,그 밖의 대규모점포,,,대규모점포,,,
135,대규모점포,08_25_01_P,3980000,2023398012907500001,2023-12-04,,1,영업/정상,1,정상영업,,,,,031-513-6001,18408.86,,경기도 구리시 인창동 430 구리유통종합상가,"경기도 구리시 동구릉로136번길 57, 구리유통종합상가 A동 (인창동)",11915,시민마트,2023-12-04 14:24:26,I,2023-12-06 00:17:03,대형마트,212367.118425352,456712.576784184,대규모점포,,37.612665,127.140856
141,대규모점포,08_25_01_P,3740000,2023374039007500005,2023-10-30,,1,영업/정상,1,정상영업,,,,,02-6921-1638,103145.33,,경기도 수원시 장안구 정자동 111-14,경기도 수원시 장안구 수성로 175 (정자동),16318,(주) 스타필드 수원,2025-08-19 09:25:52,U,2025-08-21 02:40:00,복합쇼핑몰,199161.380909543,420620.351156652,대규모점포,,37.287554,126.991333
142,대규모점포,08_25_01_P,3490000,2023349019107500001,2023-10-27,,1,영업/정상,1,정상영업,,,,,032-717-0207,81176.59,,인천광역시 중구 운서동 2955,인천광역시 중구 용유로 700 (운서동),22382,인스파이어 인티그레이티드 리조트,2025-12-05 16:54:29,U,2025-12-07 02:40:00,쇼핑센터,145795.71564294,440225.472800033,대규모점포,,37.462608,126.388108
146,대규모점포,08_25_01_P,4351000,2023435100907500001,2023-09-13,,1,영업/정상,1,정상영업,,,,,033-671-5810,3276.22,,강원특별자치도 양양군 강현면 물치리 126-11,강원특별자치도 양양군 강현면 물치천로 14,25061,강현농협 하나로마트,2024-06-14 10:28:02,U,2024-06-16 02:40:00,그 밖의 대규모점포,340693.912244024,517983.699145683,대규모점포,,38.153804,128.605921
147,대규모점포,08_25_01_P,3150000,2023315020007500002,2023-09-07,,1,영업/정상,1,정상영업,,,,,,3015.0,,서울특별시 강서구 화곡동 1175 화곡 더리브 스카이,"서울특별시 강서구 가로공원로80길 40 (화곡동, 화곡 더리브 스카이)",07765,화곡 더리브스카이,2025-08-22 11:09:12,U,2025-08-24 02:40:00,그 밖의 대규모점포,,,대규모점포,,,
152,대규모점포,08_25_01_P,3300000,2023330011007500002,2023-07-19,,1,영업/정상,1,정상영업,,,,,051-552-0256,10524.19,,부산광역시 동래구 온천동 147-6 더샵 온천헤리티지,"부산광역시 동래구 온천장로119번길 56 (온천동, 더샵 온천헤리티지)",47708,더샵 온천헤리티지스퀘어,2024-01-10 09:29:14,U,2024-01-12 02:40:00,그 밖의 대규모점포,389539.18205554,193427.379866164,대규모점포,,35.222227,129.08256
153,대규모점포,08_25_01_P,3900000,2010390012307500001,2023-07-03,,1,영업/정상,1,정상영업,,,,,02-6918-1234,14847.87,423-051,경기도 광명시 소하1동 1339번지 3호,경기도 광명시 소하로 97 (소하동),423-051,(주) 이마트 광명소하점,2024-05-20 14:06:40,U,2024-05-22 02:40:00,대형마트,189714.449800306,438279.937828733,대규모점포,,37.446613,126.884554
155,대규모점포,08_25_01_P,4490000,2023449037507500001,2023-06-21,,1,영업/정상,1,정상영업,,,,,041-571-0300,8316.34,,충청남도 천안시 서북구 쌍용동 1367,충청남도 천안시 서북구 월봉로 95 (쌍용동),31171,대하식자재마트 천안점,2023-09-05 13:14:57,U,2023-09-07 02:40:00,대형마트,210350.365980618,366539.832359485,대규모점포,,36.800196,127.116772
157,대규모점포,08_25_01_P,3530000,2023353017907500001,2023-06-12,,1,영업/정상,1,정상영업,,,,,02-380-9843,19686.36,,인천광역시 남동구 구월동 1549,,,(주)이마트 트레이더스 구월점,2024-04-29 13:03:56,U,2024-05-01 02:40:00,대형마트,174074.002286488,437545.395950524,대규모점포,,37.439687,126.707831
167,대규모점포,08_25_01_P,4050000,2023405053807500001,2023-04-17,,1,영업/정상,1,정상영업,,,,,031-265-3555,4305.19,,경기도 용인시 수지구 상현동 166-8,,,느티나무마트,2023-12-19 09:43:12,U,2023-12-21 02:40:00,대형마트,206535.42430122,422654.398675024,대규모점포,,37.305859,127.074508
169,대규모점포,08_25_01_P,4010000,2023401031707500001,2023-04-03,,1,영업/정상,1,정상영업,,,,,070-7773-5390,44052.4,,경기도 시흥시 정왕동 2684 아쿠아펫랜드,"경기도 시흥시 거북섬북로 54, 아쿠아펫랜드 (정왕동)",15119,아쿠아펫랜드,2023-04-03 15:02:56,I,2023-04-05 00:20:25,그 밖의 대규모점포,171450.600413716,425422.79435828,대규모점포,,37.330385,126.678656
171,대규모점포,08_25_01_P,3910000,2023391041807500001,2023-03-28,,1,영업/정상,1,정상영업,,,,,031-8065-5947,31268.84,,경기도 평택시 고덕동 2618-3 힐스테이트고덕센트럴,"경기도 평택시 고덕국제대로 77 (고덕동, 힐스테이트고덕센트럴)",18018,브리티시 고덕,2024-12-04 10:29:43,U,2024-12-06 02:40:00,그 밖의 대규모점포,203709.243236458,393590.810761107,대규모점포,,37.043997,127.042488
175,대규모점포,08_25_01_P,3510500,2023351057907500001,2023-02-27,,1,영업/정상,1,정상영업,,,,,032-830-2512,17282.8,,인천광역시 미추홀구 학익동 580-1,인천광역시 미추홀구 독배로 230(학익동),22205,스타오씨엘 에비뉴I,2023-10-31 11:00:15,U,2023-11-02 02:40:00,그 밖의 대규모점포,169123.759948513,437732.772860437,대규모점포,,37.441223,126.651888
179,대규모점포,08_25_01_P,3560000,2023356022207500001,2023-01-12,,1,영업/정상,1,정상영업,,,,,02-2630-2671,13476.89,,인천광역시 서구 청라동 12-2 (투자유치용지 5-1블록),,,코스트코 홀세일 청라점,2024-09-24 09:55:01,U,2024-09-26 02:40:00,대형마트,166063.431383773,448666.223800277,대규모점포,,37.539624,126.616802
180,대규모점포,08_25_01_P,5530000,2023553047907500001,2023-01-09,,1,영업/정상,1,정상영업,,,,,,5850.02,,경기도 화성시 봉담읍 상리 691,,,이지바이 봉담,2025-09-04 13:27:11,U,2025-09-06 02:40:00,대형마트,,,대규모점포,,,
182,대규모점포,08_25_01_P,3180000,2022318023907500001,2022-12-14,,1,영업/정상,1,정상영업,,,,,02-585-0580,5824.25,,서울특별시 영등포구 당산동2가 165 한화포레나당산,"서울특별시 영등포구 당산로 83 (당산동2가, 한화포레나당산)",07264,포레나당산동역세권청년주택 상업시설,2024-01-08 09:44:36,U,2024-01-10 02:40:00,그 밖의 대규모점포,,,대규모점포,,,
188,대규모점포,08_25_01_P,4181000,2022418034907500001,2022-08-31,,1,영업/정상,1,정상영업,,,,,033-269-0100,25063.95,,강원특별자치도 춘천시 온의동 575 춘천 센트럴타워 푸르지오,"강원특별자치도 춘천시 방송길 77(온의동, 춘천 센트럴타워 푸르지오)",24363,춘천 센트럴타워 푸르지오 프리미엄몰,2024-05-08 10:13:07,U,2024-05-10 02:40:00,그 밖의 대규모점포,263345.431242431,485397.525389929,대규모점포,,37.868991,127.720703
195,대규모점포,08_25_01_P,3190000,2022319021607500001,2022-07-22,,1,영업/정상,1,정상영업,,,,,02-792-0653,8995.84,,서울특별시 동작구 노량진동 16-1 노량진 드림스퀘어 복합빌딩,"서울특별시 동작구 노들로2길 7, 노량진 드림스퀘어 복합빌딩 (노량진동)",06900,노량진 드림스퀘어,2025-12-03 09:26:46,U,2025-12-05 02:40:00,그 밖의 대규모점포,194571.152376388,445790.549860682,대규모점포,,37.514325,126.939383
199,대규모점포,08_25_01_P,3050000,2022305014007500001,2022-07-11,,1,영업/정상,1,정상영업,,,,,02-721-8286,22487.6,,서울특별시 동대문구 용두동 39-1 청량리역한양수자인그라시엘,"서울특별시 동대문구 고산자로32길 78 (용두동, 청량리역한양수자인그라시엘)",02561,청량리역 한양수자인 그라시엘 판매시설,2023-06-29 10:04:00,U,2023-07-01 02:40:00,그 밖의 대규모점포,203728.022004023,452778.965235022,대규모점포,,37.577299,127.042991
202,대규모점포,08_25_01_P,3020000,2022302015007500002,2022-06-29,,1,영업/정상,1,정상영업,,,,,02-3670-0801,9879.92,,서울특별시 용산구 한강로3가 1-1 나진상가,"서울특별시 용산구 청파로 109, 나진상가 14동 (한강로3가)",04370,나진전자월드상가,2022-06-29 10:52:49,I,2022-07-01 00:22:45,전문점,196697.031086973,447931.108267379,대규모점포,,37.533621,126.963419
217,대규모점포,08_25_01_P,4050000,2022405051807500001,2022-03-25,,1,영업/정상,1,정상영업,,,,,,4099.6,,경기도 용인시 처인구 양지면 양지리 112,경기도 용인시 처인구 양지면 죽양대로 2309,17158,세영산업주식회사,2023-01-30 09:54:51,U,2023-02-01 02:40:00,전문점,226267.419758712,414698.939838046,대규모점포,,37.233832,127.296798
218,대규모점포,08_25_01_P,4530000,2022453039107500001,2022-03-23,,1,영업/정상,1,정상영업,,,,,041-669-1378,4150.89,,충청남도 서산시 잠홍동 568,충청남도 서산시 고운로 353(잠홍동),31966,충서원예농협 하나로마트,2025-06-05 17:04:11,U,2025-06-08 02:40:00,대형마트,152914.504639942,365160.666934624,대규모점포,,36.786651,126.47329
219,대규모점포,08_25_01_P,3160000,2022316015907500001,2022-03-18,,1,영업/정상,1,정상영업,,,,,02-528-0450,40883.22,,서울특별시 구로구 고척동 100-7,,,고척아이파크쇼핑센터,2023-10-12 17:09:57,U,2023-10-14 02:40:00,쇼핑센터,187477.579440706,444045.294921843,대규모점포,,37.498531,126.859177
