시군명,사업단계,사업유형,정비구역명,위치,구역면적(㎡),(기존주택)준공년도,(기존주택)동수,(기존주택)세대수,(기존주택)면적별세대수(40㎡미만),(기존주택)면적별세대수(40~60㎡),(기존주택)면적별세대수(60~85㎡),(기존주택)면적별세대수(85~135㎡),(기존주택)면적별세대수(135㎡이상),사업시행세대수총계,조합원분양세대수,일반분양세대수,임대세대수,(신축주택)분양주택수,(신축주택)면적별분양주택수(40㎡미만),(신축주택)면적별분양주택수(40~60㎡),(신축주택)면적별분양주택수(60~85㎡),(신축주택)면적별분양주택수(85~135㎡),(신축주택)면적별분양주택수(135㎡이상),(신축주택)임대주택수,(신축주택)면적별임대주택수(40㎡미만),(신축주택)면적별임대주택수(40~60㎡),(신축주택)면적별임대주택수(60~85㎡),(기존)용적률,(신축)용적률,토지등소유자수(명),조합원수(명),사업시행자,사업예정기간(사업시작),사업예정기간(사업완료),정비예정구역고시일자,정비구역지정예정일자,정비계획승인일자,정비구역지정일자(최초지정),정비구역지정일자(변경지정),추진위승인일자,예비평가일자,안전진단일자,조합설립인가일자,사업시행인가일자,관리처분인가일자,착공일자,일반분양일자,준공일자,이전고시일자,현추진상황,담당자전화번호,비고
광명시,착공,재건축,"철산주공10,11단지",경기도 광명시 철산2동 105,67738,1985,31,1080,430,650,,,,1490,1083,407,,1490,,,1421,69,,393,,,,85%,267%,1123,1110,조합,2011,2025,,,2010-10-02,2011-05-24,2023-01-06,2013-10-25,2009-10-29,2010-03-02,,2019-06-13,2021-01-26,2022-09-16,2023-10-19,,,,02-2680-6972,
광명시,준공,재건축,철산주공3단지아파트,경기도 광명시 철산동 552,96200,1981,38,1900,1900,,,,,2072,1887,185,,2072,,513,1046,405,108,,,,,80%,249%,1900,1899,조합,2006,2009,,,,2005-03-28,,2002-08-27,2001-11-28,2002-02-22,,2005-05-16,2005-12-21,2006-12-26,2009-12-28,2009-11-26,2011-05-27,,02-2680-6972,
광명시,준공,재개발,철산두산위브아파트,경기도 광명시 철산동 50번지 일대,32650,1980,116,517,48,153,223,93,,900,531,369,,900,,356,364,180,,,,,,114%,292%,563,531,조합,2003,2007,,,,2000-06-14,2007-02-26,2001-09-21,,,,2003-05-06,2004-01-16,2004-09-02,2004-10-13,2007-03-29,2007-06-27,,02-2680-6972,
구리시,준공,재개발,인창주택,경기도 구리시 인창동320-2 일원,33793,1957~2004,135,375,,,,375,,632,261,339,32,600,78,306,216,,,32,32,,,100%,236.28%,302,237,조합,2005,2021,,,,2007-05-28,2019-01-04,2005-11-14,,,2007-08-10,2008-02-11,2015-11-03,2018-04-05,2018-04-18,2021-09-17,2023-02-13,,031-550-2492,
구리시,준공,재건축,수택지구,경기도 구리시 수택동556번지 일원,20159,1982,68,257,,,,257,,410,196,166,48,362,,228,134,,,48,,48,,70%,249.74%,223,193,조합,2004,2021,,,2006-04-14,2007-07-30,2018-10-15,2004-02-16,,,2011-09-08,2016-02-04,2017-04-27,2019-04-01,2019-04-03,2021-06-30,2021-09-16,,031-550-2411,
구리시,착공,재개발,딸기원2지구,경기도 구리시 교문동 339일원,84370,1952/2009,184,477,,,,477,,1096,217,637,242,854,,322,526,6,,252,52,190,,43%,160%,300,203,조합,2013,2029,,,2010-09-30,2013-03-08,2019-09-30,2007-12-12,,,2016-01-27,2020-02-17,2023-08-07,2025-09-01,2025-09-19,,,,031-550-2492,
구리시,조합설립,재개발,수택동 재개발,경기도 구리시 수택동 454-9번지 일원,342780,1952~2020,1208,1783,,,,1783,,0,,,,,,,,,,,,,,100%,249.95%,4280,4264,조합,2021,2030,,,,2023-07-14,,2023-08-24,,,2024-06-19,,,,,,,,031-550-8304,
구리시,준공,재건축,수택1지구,경기도 구리시 수택동532번지일원,32535,1982,143,305,,,,305,,565,259,271,35,530,,215,315,,,35,,35,,75%,249.85%,291,259,조합,2004,2025,,,,2007-07-30,2008-07-21,2005-11-04,,,2007-12-27,2008-12-24,2019-10-01,2022-01-21,2022-02-15,2025-04-29,2025-05-29,,031-550-2492,
구리시,추진위원회,재건축,한성1차아파트,경기도 구리시 nan,,,,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
군포시,조합설립,재개발,금정4구역,경기도 군포시 군포시 금정동 754번지 일원,50028,1983~2021,146,839,12,551,206,46,24,940,,,92,848,,429,305,114,,92,72,20,,,300%,586,,,,,,,2024-09-27,2024-09-27,,,,,,,,,,,,,031-390-0516,
군포시,조합설립,재개발,군포3구역,경기도 군포시 군포시 당동 738번지 일원,25064,1983~2021,117,488,22,334,105,17,10,557,,,55,502,,311,164,27,,55,44,11,,,300%,260,,지정개발자(신탁),2024,2033,,,2023-12-29,2023-12-29,,,,,,,,,,,,,031-390-0967,
군포시,조합설립,재개발,금정역세권1구역,경기도 군포시 군포시 금정동 727번지 일원,51418,1959~2024,142,812,52,320,401,35,4,1150,,,,,,,,,,,,,,,미정,504,,지정개발자(신탁),2025,3035,,,,2025-02-27,,,,,,,,,,,,,031-390-0967,
군포시,조합설립,재개발,금정2구역,경기도 군포시 군포시 금정동 762-11번지 일원,47512,1976~2022,150,670,20,186,275,103,86,1092,,,93,999,3,547,353,96,,93,51,42,,,300%,533,,지정개발자(신탁),2025,2032,,,2024-09-27,2024-09-27,,,,,,,,,,,,,031-390-0228,
군포시,정비구역,재개발,군포2구역,경기도 군포시 군포시 당동 768번지 일원,92034,1978~2019,309,1955,87,1502,323,37,6,2017,,,,1837,,769,49,1019,,180,98,82,,,300%,1398,,미정,2025,2035,,,2025-02-27,2025-02-27,,,,,,,,,,,,,031-390-0589,
군포시,조합설립,재개발,금정역 역세권,경기도 군포시 군포시 산본동 1028번지 일원,58139,1985~2018,150,1021,233,497,201,88,3,1293,,,98,1195,,84,1006,105,,98,66,32,,177%,332%,802,,지정개발자(신탁),2022,2030,,,2021-12-30,2021-12-30,,,,,,,,,,,,,031-390-0956,
군포시,조합설립,재개발,GTX금정역 역세권1구역,경기도 군포시 군포시 산본동 75번지 일원,44027,1973~2022,194,951,10,37,19,19,212,981,,,83,898,7,605,286,,,83,47,36,,,300%,332,,,,,,,2024-11-27,2024-11-27,,,,,,,,,,,,,031-390-0967,
군포시,준공,재건축,산본주공아파트,경기도 군포시 군포시 산본동 208외 5,128359,1985,80,1728,1728,,,,,2644,1726,644,274,2370,,257,1100,581,432,274,,274,,83%,270%,1763,1716,조합,2002,2010,,,,2006-06-20,2008-07-10,2003-12-31,,2002-12-30,,2006-07-10,2007-03-09,2007-10-29,2009-11-11,2010-09-20,2010-10-20,,031-390-0228,
군포시,관리처분,재개발,군포10구역,경기도 군포시 당동 781번지 일원,37721,1975~2004,102,610,300,200,100,10,,1031,395,584,52,979,8,284,683,3,1,52,35,17,,192%,617%,370,391,조합,2010,2028,,,2010-04-30,2010-09-20,2022-11-30,2016-03-07,,,,2022-12-09,2024-08-29,,,,,,031-390-0956,
군포시,조합설립,재개발,금정3구역,경기도 군포시 군포시 금정동 766번지 일원,31194,1976~2022,124,564,112,321,106,17,8,700,,,67,633,37,313,283,,,67,52,15,,,300%,389,,지정개발자(신탁),2024,2033,,,2023-12-29,2023-12-29,,,,,,,,,,,,,031-390-0516,
군포시,조합설립,재개발,군포1구역,경기도 군포시 군포시 당동 731번지 일원,40602,1967~2022,171,674,72,432,148,16,6,932,,,88,844,,411,433,,,88,43,45,,,300%,416,,지정개발자(신탁),2024,2031,,,2023-12-29,2023-12-29,,,,,,,,,,,,,031-390-0967,
군포시,조합설립,재개발,금정역 산본1동2지구,경기도 군포시 군포시 산본동 227-7번지 일원,40207,1985~2016,131,560,,1,115,243,199,954,,,92,862,1,271,538,52,,92,53,39,,168%,343%,510,,지정개발자(신탁),2022,2030,,,2022-09-08,2022-09-08,,,,,,,,,,,,,031-390-0966,
군포시,조합설립,재개발,산본1동1지구,경기도 군포시 군포시 산본동 79-8번지 일원,84399,1967~2020,322,1661,151,910,155,73,372,2021,,,165,1856,159,938,759,,,165,94,71,,132%,300%,1132,,지정개발자(신탁),2022,2030,,,2021-12-30,2021-12-30,,,,,,,,,,,,,031-390-0914,
김포시,준공,주거환경개선,양곡마을,경기도 김포시 양촌읍 양곡리 403-4,46583,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,2019-07-31,,,,,,,,2020-12-01,,2021-12-29,,,031-980-5624,
김포시,준공,주거환경개선,서암,경기도 김포시 통진읍 서암리 758-22,18490,1984,51,126,,,126,,,,,,,,,,,,,,,,,200%,200%,47,,市,2014,2019,,,,2015-11-14,,,,,,,,2016-05-04,,2019-06-19,,,031-980-5624,
남양주시,정비구역,재개발,퇴계원7,경기도 남양주시 퇴계원읍 퇴계원리 329-69일원,10884,1988~1995,24,211,66,129,16,,,,,,,,,,,,,,,,,134.10%,250%,238,238,,,,2020-12-24,2030-12-31,2023-04-27,2023-04-27,,,,,,,,,,,,,031-590-4769,
남양주시,관리처분,재건축,금곡2,경기도 남양주시 금곡동 159-59 일원,19166,1986,9,413,66,62,167,77,41,576,576,,,576,,338,238,,,,,,,143.70%,296%,411,402,조합,2016,2022,2020-12-24,2012-12-31,2015-09-10,2015-09-10,2017-03-30,2017-05-08,,2015-01-27,,2022-01-21,2025-02-27,,,,,,031-590-2386,
남양주시,추진위원회,재건축,금곡5,경기도 남양주시 금곡동 산108-1일원,10088,1986,3,270,,270,,,,351,351,,,351,,,351,,,,,,,148.00%,300%,248,,추진위,2010,,2020-12-24,2030-12-31,,,,,2003-08-01,,,,,,,,,,031-590-8753,
남양주시,예정구역,재개발,퇴계원5,경기도 남양주시 퇴계원읍 퇴계원리 272일원,14045,1986~2010,41,263,2,24,93,143,1,,,,,,,,,,,,,,,66.20%,250%,,,,,,2020-12-24,2025-12-31,,,,,,,,,,,,,,,031-590-8753,
남양주시,예정구역,재개발,금곡7,경기도 남양주시 금곡동 158-7일원,15269,1981~2014,22,164,8,9,56,89,2,,,,,,,,,,,,,,,126.70%,250%,,,,,,2020-12-24,2030-12-31,,,,,,,,,,,,,,,031-590-8753,
남양주시,예정구역,재개발,호평1,경기도 남양주시 호평동 184-1일원,19708,1972~2010,45,172,,56,25,6,85,,,,,,,,,,,,,,,50.80%,250%,,,,,,2020-12-24,2030-12-31,,,,,,,,,,,,,,,031-590-8753,
남양주시,정비구역,재개발,퇴계원4,경기도 남양주시 퇴계원읍 퇴계원리 82-13일원,26593,1980~2014,75,166,,98,23,26,19,,,,,,,,,,,,,,,36.10%,250%,186,,,,,2020-12-24,2025-12-31,2023-12-31,2023-12-31,,,,,,,,,,,,,031-590-8281,
남양주시,관리처분,재건축,평내1,경기도 남양주시 평내동 산84-11일원,60046,1985~1987,43,1260,232,486,542,,,1843,1104,694,45,1798,,1603,195,,,45,,45,,129.00%,290%,1299,1121,조합,2010,,2020-12-24,,,2008-10-23,2018-08-09,2009-03-04,2003-05-30,2003-06-13,,2010-09-17,2012-04-19,,,,,,031-590-4317,
남양주시,준공,재건축,"평내2 (양지,삼창아파트)",경기도 남양주시 평내동 103-2일원,39162,1986~1989,11,1005,408,597,,,,1108,820,255,33,1075,,802,273,,,33,,33,,188.00%,273%,1017,819,조합,2010,2022,2020-12-24,2012-12-31,2011-01-13,2011-01-20,2016-07-28,2011-12-29,2003-05-30,2003-06-19,,2016-12-22,2017-09-25,2019-08-27,2019-08-28,2022-06-24,2023-05-04,,031-590-2386,
남양주시,준공,재건축,"남광,신우",경기도 남양주시 도농동 2-5 일원,23290,1979,9,177,22,24,75,41,15,317,176,107,34,283,,,283,,,34,,34,,96.00%,212%,162,162,조합,2000,2013,,,,2007-07-02,,2000-03-17,,1999-11-15,,2009-11-03,2010-03-30,2011-05-13,2013-05-16,2013-12-30,2014-02-13,,031-590-4317,
남양주시,청산,재건축,지금2지구,경기도 남양주시 지금동 129-65 일원,61301,1960~1998,222,1470,290,266,557,340,17,1008,762,213,33,975,,209,498,268,,33,,33,,120.00%,245%,789,681,조합,2003,2015,,,,2006-09-01,2016-07-07,2003-06-25,2003-04-30,2003-04-30,,2007-03-22,2007-12-31,2012-07-24,2013-05-14,2017-06-30,2017-11-01,,031-590-4317,
남양주시,청산,재건축,도농3개통,경기도 남양주시 도농동 294 일원,28211,1952~2003,118,212,40,34,80,53,5,457,178,258,21,436,,81,251,104,,21,,21,,83.10%,265%,199,178,조합,2003,2014,,,,2006-10-26,,2003-12-04,2006-11-08,2006-11-08,,2007-07-23,2008-01-03,2012-05-08,2012-10-22,2016-12-08,2017-08-03,,031-590-4317,
남양주시,관리처분,재개발,퇴계원2,경기도 남양주시 퇴계원읍 퇴계원리 109-8일원,19383,1984~2015,68,285,1,6,120,158,,255,,,21,255,12,159,84,,,21,,,,30.20%,250%,285,,,,,2020-12-24,2023-12-31,2021-03-11,2021-03-11,,,,,,2023-03-09,2024-10-23,,,,,,031-590-8753,
남양주시,추진위원회,재개발,퇴계원1,경기도 남양주시 퇴계원읍 퇴계원리 261-16일원,25152,1980~2000,78,468,,29,31,381,27,,,,,,,,,,,,,,,51.80%,250%,433,,,,,2020-12-24,2025-12-31,2023-01-19,2023-01-19,,,,,,,,,,,,,031-590-4769,
남양주시,예정구역,재건축,오남1,경기도 남양주시 오남읍 오남리 683-5 일원,99413,1988~2004,48,2296,411,382,1038,370,95,,,,,,,,,,,,,,,146.80%,300%,2296,,,,,2020-12-24,2023-12-31,,,,,,2020-01-10,,,,,,,,,031-590-4769,
남양주시,예정구역,재개발,금곡6,경기도 남양주시 금곡동 162-42일원,25372,1978~2004,45,560,94,255,168,37,6,,,,,,,,,,,,,,,112.50%,250%,,,,,,2020-12-24,2030-12-31,,,,,,,,,,,,,,,031-590-8753,
